Year,School,City,Hobby,Club,Favorite Type of Food,Favorite Dessert,Favorite Sports,Favorite Color,Favorite Type of Music,Favorite Quote,Age,Height,Gender
2020,Edison High School,New Jersey,Reading,Science Olympiad,Indian,Custard,Tennis,Red,Indie,Imagination is the only weapon in the war with reality.,17,"5'2""",Female
2020,Tenafly High School,New Jersey,Running,Science Olympiad,American,Cookies and Cream Milkshake,Tennis / Track and Field,Blue,Pop,"""Never argue with an idiot. They will only bring you down to their level and beat you with experience."" - George Carlin",17,"5'10""",Male
